,Range,Mean_Pitch,Major_or_Minor,Chromatic_Motion,Direction_of_Melodic_Motion,Melodic_Pitch_Variety,Note_Density,Average_Note_Duration,Rhythmic_Variability
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 852.mid",7.0, 63.0, 0.0, 0.0, 0.5714, 4.0, 0.5333, 1.875, 0.0
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 853.mid",9.0, 40.0, 0.0, 0.0, 0.5714, 4.0, 0.5333, 1.875, 0.0
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 854.mid",10.0, 55.0, 0.0, 0.02564, 0.5, 1.0, 2.667, 0.375, 0.02615
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 855.mid",8.0, 56.0, 0.0, 0.0, 0.6667, 0.0, 0.5333, 1.875, 0.0
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 856.mid",7.0, 52.0, 0.0, 0.0, 0.2, 1.279, 3.2, 0.3125, 0.02901
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 857.mid",9.0, 58.0, 0.0, 0.04651, 0.8, 2.139, 2.933, 0.3409, 0.02532
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 858.mid",8.0, 43.0, 0.0, 0.02564, 0.2857, 2.286, 2.673, 0.3299, 0.03
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 859.mid",9.0, 68.0, 0.0, 0.0, 0.6, 1.0, 3.2, 0.2148, 0.02874
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 86.mid",10.0, 59.0, 0.0, 0.01639, 0.4286, 3.661, 4.165, 0.1188, 0.0298
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 860.mid",7.0, 28.0, 0.0, 0.0, 0.5, 2.5, 0.3333, 3.0, 0.0
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 861.mid",10.0, 65.0, 0.0, 0.0, 0.5714, 2.286, 2.667, 0.375, 0.03005
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 862.mid",11.0, 80.0, 0.0, 0.1579, 0.4737, 4.375, 2.612, 0.1938, 0.02594
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 868.mid",7.0, 82.0, 0.0, 0.06452, 0.4545, 3.407, 2.15, 0.1172, 0.03676
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 869.mid",7.0, 65.0, 0.0, 0.0, 0.3333, 1.0, 4.267, 0.2344, 0.03481
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 87.mid",12.0, 61.0, 0.0, 0.03704, 0.5263, 4.104, 3.692, 0.117, 0.02424
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 872.mid",8.0, 42.0, 0.0, 0.1111, 0.5333, 3.478, 3.793, 0.1674, 0.02401
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 873.mid",8.0, 66.0, 0.0, 0.1111, 0.5333, 3.478, 3.733, 0.2344, 0.02401
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 875.mid",7.0, 46.0, 0.0, 0.1961, 0.5833, 2.889, 3.467, 0.2885, 0.02796
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 878.mid",9.0, 53.0, 0.0, 0.0, 0.5333, 2.697, 2.667, 0.3305, 0.02409
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 88.mid",5.0, 66.0, 0.0, 0.1667, 0.5, 2.562, 2.485, 0.1168, 0.02484
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 883.mid",9.0, 70.0, 0.0, 0.1905, 0.5385, 1.938, 2.98, 0.2456, 0.02535
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 886.mid",16.0, 62.0, 0.0, 0.0, 0.5128, 2.081, 4.533, 0.1607, 0.0262
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 89.mid",17.0, 63.0, 0.0, 0.01724, 0.4839, 4.708, 3.968, 0.09468, 0.02329
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 892.mid",4.0, 57.0, 0.0, 0.5952, 0.6061, 3.05, 6.728, 0.121, 0.02323
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 893.mid",3.0, 69.0, 0.0, 0.5714, 0.5, 2.167, 3.735, 0.1008, 0.02557
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 896.mid",10.0, 67.0, 0.0, 0.03226, 0.4516, 3.083, 4.404, 0.1172, 0.02467
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 899.mid",6.0, 80.0, 0.0, 0.1356, 0.5, 3.607, 4.0, 0.2344, 0.03481
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 90.mid",13.0, 61.0, 0.0, 0.04255, 0.4706, 2.698, 3.201, 0.1709, 0.02783
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 904.mid",9.0, 80.0, 0.0, 0.04255, 0.5, 3.05, 3.2, 0.2441, 0.02414
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 91.mid",10.0, 68.0, 0.0, 0.0, 0.4286, 2.451, 3.898, 0.1056, 0.02483
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 911.mid",12.0, 84.0, 0.0, 0.1333, 0.4667, 5.0, 1.067, 0.9375, 0.04648
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 913.mid",24.0, 76.0, 0.0, 0.05128, 0.5714, 3.276, 2.667, 0.3164, 0.0302
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 914.mid",7.0, 63.0, 0.0, 0.0, 0.3333, 0.0, 0.2667, 3.75, 0.0
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 917.mid",12.0, 67.0, 0.0, 0.01538, 0.3469, 3.017, 4.4, 0.1172, 0.02448
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 918.mid",5.0, 52.0, 0.0, 0.0, 1.0, 1.0, 0.2667, 3.75, 0.0
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 919.mid",17.0, 89.0, 0.0, 0.04255, 0.3871, 3.718, 3.2, 0.2344, 0.03044
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 92.mid",12.0, 65.0, 0.0, 0.1778, 0.3077, 3.122, 3.091, 0.1123, 0.0235
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 920.mid",12.0, 65.0, 0.0, 0.0, 0.3404, 4.5, 3.2, 0.2344, 0.02509
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 927.mid",24.0, 62.0, 0.0, 0.05882, 0.5385, 3.054, 3.522, 0.2344, 0.02424
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 93.mid",5.0, 59.0, 0.0, 0.1176, 0.375, 3.042, 3.473, 0.08977, 0.02885
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 930.mid",26.0, 63.0, 0.0, 0.0, 0.5063, 2.75, 5.333, 0.1723, 0.02397
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 931.mid",10.0, 66.0, 0.0, 0.02439, 0.5556, 3.583, 2.8, 0.3213, 0.02579
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 933.mid",42.0, 53.0, 0.0, 0.0, 0.5079, 4.188, 8.005, 0.1198, 0.02424
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 94.mid",7.0, 56.0, 0.0, 0.0, 0.4737, 2.062, 3.619, 0.1034, 0.01824
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 95.mid",5.0, 61.0, 0.0, 0.0, 0.5, 2.244, 3.095, 0.1159, 0.0238
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 96.mid",5.0, 56.0, 0.0, 0.01724, 0.5556, 2.13, 3.959, 0.1178, 0.02472
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 97.mid",8.0, 70.0, 0.0, 0.08163, 0.5405, 4.767, 3.344, 0.1516, 0.02354
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 978.mid",22.0, 61.0, 0.0, 0.03226, 0.7419, 4.913, 4.125, 0.4874, 0.03484
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 98.mid",5.0, 66.0, 0.0, 0.02273, 0.5714, 1.125, 3.038, 0.06413, 0.02588
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 989.mid",24.0, 40.0, 0.0, 0.44, 0.625, 3.556, 3.39, 0.3228, 0.02986
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 996.mid",33.0, 46.0, 0.0, 0.0, 0.3937, 3.009, 8.0, 0.1206, 0.02422
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 998.mid",50.0, 50.0, 0.0, 0.007874, 0.4961, 4.433, 8.003, 0.1198, 0.02422
